lang,mic,isin,name,symbol,nominal_ammount,nominal_currency_id_formatted,maturity_date,maturity_date_formatted,interest_rate_percentage,last_price,last_trade_time,last_trade_time_formatted,last_trade_time_to_local_formatted,weight_percentage,quantity,change_prev_close_percentage,free_float_factor,weighting_factor,free_float_market_cap,download_date
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,14",2025-09-10T18:00:12+02:00,18:00:12,10.09.2025. 16:00:12,"0,65&nbsp;%","13.545.200,00","+7,00&nbsp;%","0,85","1,00000000","24.638.718,80",2025-09-10
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.840,00",2025-09-10T16:44:34+02:00,16:44:34,10.09.2025. 14:44:34,"11,71&nbsp;%","388.376,00","0,00&nbsp;%","0,35","0,84915861","443.241.555,88",2025-09-10
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"708,00",2025-09-10T18:00:05+02:00,18:00:05,10.09.2025. 16:00:05,"12,41&nbsp;%","2.572.119,00","+2,61&nbsp;%","1,00","0,25791045","469.670.469,07",2025-09-10
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"330,00",2025-09-10T16:13:13+02:00,16:13:13,10.09.2025. 14:13:13,"3,07&nbsp;%","2.197.772,00","0,00&nbsp;%","0,16","1,00000000","116.042.361,60",2025-09-10
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"151,00",2025-09-10T17:39:50+02:00,17:39:50,10.09.2025. 15:39:50,"9,43&nbsp;%","7.120.003,00","+0,67&nbsp;%","0,80","0,41497575","356.919.133,06",2025-09-10
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,16",2025-09-10T18:00:07+02:00,18:00:07,10.09.2025. 16:00:07,"9,15&nbsp;%","126.027.542,00","-0,32&nbsp;%","0,55","0,81100146","346.282.467,66",2025-09-10
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"62,80",2025-09-10T17:27:01+02:00,17:27:01,10.09.2025. 15:27:01,"2,28&nbsp;%","1.960.000,00","+2,95&nbsp;%","0,70","1,00000000","86.161.600,00",2025-09-10
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"4,10",2025-09-10T18:00:14+02:00,18:00:14,10.09.2025. 16:00:14,"0,26&nbsp;%","16.813.247,00","+3,02&nbsp;%","0,14","1,00000000","9.650.803,78",2025-09-10
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,70",2025-09-10T17:51:03+02:00,17:51:03,10.09.2025. 15:51:03,"8,36&nbsp;%","320.241.955,00","+0,41&nbsp;%","0,04","1,00000000","316.399.051,54",2025-09-10
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"16,95",2025-09-11T17:46:19+02:00,17:46:19,11.09.2025. 15:46:19,"1,31&nbsp;%","4.199.584,00","+1,50&nbsp;%","0,70","1,00000000","49.828.064,16",2025-09-11
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"81,00",2025-09-11T16:47:32+02:00,16:47:32,11.09.2025. 14:47:32,"10,47&nbsp;%","6.784.100,00","+1,00&nbsp;%","0,95","0,76104433","397.292.914,57",2025-09-11
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"39,00",2025-09-11T17:37:49+02:00,17:37:49,11.09.2025. 15:37:49,"1,84&nbsp;%","5.128.721,00","0,00&nbsp;%","0,35","1,00000000","70.007.041,65",2025-09-11
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,60",2025-09-11T15:02:40+02:00,15:02:40,11.09.2025. 13:02:40,"6,58&nbsp;%","13.337.200,00","-1,42&nbsp;%","0,45","1,00000000","249.672.384,00",2025-09-11
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,30",2025-09-11T18:00:08+02:00,18:00:08,11.09.2025. 16:00:08,"2,26&nbsp;%","41.247.193,00","+0,73&nbsp;%","0,25","1,00000000","85.587.925,48",2025-09-11
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"182,00",2025-09-11T17:53:14+02:00,17:53:14,11.09.2025. 15:53:14,"3,51&nbsp;%","1.331.650,00","+0,28&nbsp;%","0,55","1,00000000","133.298.165,00",2025-09-11
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"280,00",2025-09-11T17:44:19+02:00,17:44:19,11.09.2025. 15:44:19,"4,48&nbsp;%","2.024.625,00","0,00&nbsp;%","0,30","1,00000000","170.068.500,00",2025-09-11
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,40",2025-09-11T18:00:06+02:00,18:00:06,11.09.2025. 16:00:06,"9,31&nbsp;%","78.000.000,00","+0,49&nbsp;%","0,40","0,27336938","353.105.760,76",2025-09-11
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"53,40",2025-09-11T17:51:33+02:00,17:51:33,11.09.2025. 15:51:33,"1,97&nbsp;%","3.990.000,00","-0,74&nbsp;%","0,35","1,00000000","74.573.100,00",2025-09-11
hr,0,HRIKBARA0008,ISTARSKA KREDITNA BANKA UMAG d.d.,IKBA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"472,00",2025-09-10T12:08:34+02:00,10.09.2025. 12:08:34,10.09.2025. 10:08:34,"0,92&nbsp;%","148.000,00",-,"0,50","1,00000000","34.928.000,00",2025-09-11
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,08",2025-09-11T16:18:26+02:00,16:18:26,11.09.2025. 14:18:26,"0,63&nbsp;%","13.545.200,00","-2,80&nbsp;%","0,85","1,00000000","23.947.913,60",2025-09-11
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.850,00",2025-09-11T16:19:10+02:00,16:19:10,11.09.2025. 14:19:10,"11,71&nbsp;%","388.376,00","+0,26&nbsp;%","0,35","0,84915861","444.395.830,77",2025-09-11
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"712,00",2025-09-11T18:00:01+02:00,18:00:01,11.09.2025. 16:00:01,"12,45&nbsp;%","2.572.119,00","+0,56&nbsp;%","1,00","0,25791045","472.323.974,55",2025-09-11
